"","coefficients","replicate","pval","treatment_site"
"treatment20C...204",-0.419511311363968,30,1.90013282681459e-49,"treatment20C"
"siteCI5...205",0.213749773184671,30,4.74203469288814e-17,"siteCI5"
"siteDB...206",-0.451223232277526,30,3.77613343280478e-66,"siteDB"
"sitePW...207",-0.321473934913969,30,8.3058413147943e-36,"sitePW"
"treatment20C:siteCI5...208",-0.0449100632347708,30,0.229670084732376,"treatment20C:siteCI5"
"treatment20C:siteDB...209",0.16559764489944,30,1.24753951097325e-05,"treatment20C:siteDB"
"treatment20C:sitePW...210",-0.0683210331133186,30,0.0691885153664929,"treatment20C:sitePW"
"treatment20C...211",-0.546834017088638,31,7.60904732149894e-85,"treatment20C"
"siteCI5...212",-0.029967962660976,31,0.230773733581983,"siteCI5"
"siteDB...213",-0.659640636850453,31,1.37023768420495e-145,"siteDB"
"sitePW...214",-0.313096616846059,31,3.56697511310651e-37,"sitePW"
"treatment20C:siteCI5...215",0.402527137557494,31,1.06774991509648e-27,"treatment20C:siteCI5"
"treatment20C:siteDB...216",0.512473066036883,31,1.37370977261654e-41,"treatment20C:siteDB"
"treatment20C:sitePW...217",0.072119046548052,31,0.053286942947177,"treatment20C:sitePW"
"treatment20C...218",-0.638769784667756,32,2.98453674811921e-124,"treatment20C"
"siteCI5...219",0.0197549746369504,32,0.406240398216507,"siteCI5"
"siteDB...220",-0.679302307981446,32,8.02472485542172e-164,"siteDB"
"sitePW...221",-0.350334513808253,32,1.69521927045542e-52,"sitePW"
"treatment20C:siteCI5...222",0.427981323767494,32,5.75256000568068e-33,"treatment20C:siteCI5"
"treatment20C:siteDB...223",0.666064875056139,32,3.44321251950718e-74,"treatment20C:siteDB"
"treatment20C:sitePW...224",0.339359120061262,32,2.15408439476617e-22,"treatment20C:sitePW"
"treatment20C...225",-0.444346798182421,33,2.50684180179656e-68,"treatment20C"
"siteCI5...226",-0.0652619318367565,33,0.00636751375048094,"siteCI5"
"siteDB...227",-0.546447445567851,33,2.85853222305069e-118,"siteDB"
"sitePW...228",-0.364361607443078,33,1.43426864648289e-56,"sitePW"
"treatment20C:siteCI5...229",0.301276926975367,33,6.17568796459866e-18,"treatment20C:siteCI5"
"treatment20C:siteDB...230",0.179612512964742,33,5.20169724986838e-07,"treatment20C:siteDB"
"treatment20C:sitePW...231",-0.0313801786029085,33,0.374585066951111,"treatment20C:sitePW"
"treatment20C...232",-0.687592739897964,34,7.37261848036759e-131,"treatment20C"
"siteCI5...233",0.116347406490364,34,1.69154963985267e-06,"siteCI5"
"siteDB...234",-0.67355422512573,34,4.18779154205192e-148,"siteDB"
"sitePW...235",-0.386634277577456,34,2.08516182084428e-56,"sitePW"
"treatment20C:siteCI5...236",0.166168638853961,34,7.90810229594533e-06,"treatment20C:siteCI5"
"treatment20C:siteDB...237",0.576223188460222,34,8.66513622444172e-51,"treatment20C:siteDB"
"treatment20C:sitePW...238",0.300532742341903,34,4.45348279895548e-16,"treatment20C:sitePW"
"treatment20C...239",-0.659080164295236,35,3.12062319561412e-117,"treatment20C"
"siteCI5...240",0.0140130393236962,35,0.589473817981566,"siteCI5"
"siteDB...241",-0.421591772861364,35,1.72175444468505e-63,"siteDB"
"sitePW...242",-0.1739656964599,35,7.29015958372761e-13,"sitePW"
"treatment20C:siteCI5...243",0.473209160939981,35,1.56033341758544e-35,"treatment20C:siteCI5"
"treatment20C:siteDB...244",0.44590204217964,35,6.37485632323451e-33,"treatment20C:siteDB"
"treatment20C:sitePW...245",0.206379135848821,35,1.64746948331999e-08,"treatment20C:sitePW"
"treatment20C...246",-0.76609142033329,36,1.34698844464497e-166,"treatment20C"
"siteCI5...247",-0.064576917931608,36,0.00796361749976653,"siteCI5"
"siteDB...248",-0.621874440035802,36,4.82311480840424e-139,"siteDB"
"sitePW...249",-0.358947088694812,36,2.33548034444719e-53,"sitePW"
"treatment20C:siteCI5...250",0.546942493013108,36,5.63297758050605e-50,"treatment20C:siteCI5"
"treatment20C:siteDB...251",0.569032467204219,36,9.54883949906083e-52,"treatment20C:siteDB"
"treatment20C:sitePW...252",0.21683514762827,36,3.20564202627859e-09,"treatment20C:sitePW"
"treatment20C...253",-0.49372151318115,37,2.25653646497127e-70,"treatment20C"
"siteCI5...254",0.0701765222997075,37,0.00560029901545518,"siteCI5"
"siteDB...255",-0.424612737623391,37,6.917610272449e-62,"siteDB"
"sitePW...256",-0.251441477500805,37,3.03246499479921e-25,"sitePW"
"treatment20C:siteCI5...257",0.161946040884728,37,1.47039527728808e-05,"treatment20C:siteCI5"
"treatment20C:siteDB...258",0.267574331566827,37,9.28418263507015e-13,"treatment20C:siteDB"
"treatment20C:sitePW...259",0.03890176207209,37,0.285220666546575,"treatment20C:sitePW"
"treatment20C...260",-0.84072742426088,38,3.92855520212717e-192,"treatment20C"
"siteCI5...261",-0.0836991538517779,38,0.000746330666546046,"siteCI5"
"siteDB...262",-0.483922065844366,38,4.44915062930541e-91,"siteDB"
"sitePW...263",-0.489688949920328,38,2.4919478011772e-92,"sitePW"
"treatment20C:siteCI5...264",0.514670853734949,38,7.41635748274275e-42,"treatment20C:siteCI5"
"treatment20C:siteDB...265",0.51998542340128,38,5.56451506884913e-44,"treatment20C:siteDB"
"treatment20C:sitePW...266",0.430697221071823,38,8.34327843947131e-31,"treatment20C:sitePW"
"treatment20C...267",-0.472429606886603,39,4.31153833469451e-68,"treatment20C"
"siteCI5...268",0.0305705857493594,39,0.217774746074164,"siteCI5"
"siteDB...269",-0.470396487358693,39,7.51989688081264e-79,"siteDB"
"sitePW...270",-0.376772860927972,39,2.39755291378665e-52,"sitePW"
"treatment20C:siteCI5...271",0.320003408181028,39,2.4905633063029e-18,"treatment20C:siteCI5"
"treatment20C:siteDB...272",0.220208033910159,39,3.24177343672618e-09,"treatment20C:siteDB"
"treatment20C:sitePW...273",0.109258175681488,39,0.00302840285671744,"treatment20C:sitePW"
"treatment20C...274",-0.458351359577674,40,3.08860618357249e-63,"treatment20C"
"siteCI5...275",0.141038367865004,40,1.04168787153337e-08,"siteCI5"
"siteDB...276",-0.405876021541997,40,1.01298602998625e-60,"siteDB"
"sitePW...277",-0.265259491198358,40,4.68243292312917e-28,"sitePW"
"treatment20C:siteCI5...278",0.182085755929887,40,4.58075149762324e-07,"treatment20C:siteCI5"
"treatment20C:siteDB...279",0.324780354858987,40,1.75995846054038e-19,"treatment20C:siteDB"
"treatment20C:sitePW...280",-0.0671506365803593,40,0.067485697702518,"treatment20C:sitePW"
"treatment20C...281",-0.492498948055422,41,3.31754374348625e-80,"treatment20C"
"siteCI5...282",0.121204388567774,41,2.18612421263012e-07,"siteCI5"
"siteDB...283",-0.628748066218526,41,1.58896638964309e-145,"siteDB"
"sitePW...284",-0.362472671714017,41,9.76326974147595e-53,"sitePW"
"treatment20C:siteCI5...285",0.00279183234532241,41,0.936923766159736,"treatment20C:siteCI5"
"treatment20C:siteDB...286",0.203951559909424,41,2.27779571087483e-08,"treatment20C:siteDB"
"treatment20C:sitePW...287",0.0588724949456738,41,0.0953979800256765,"treatment20C:sitePW"
"treatment20C...288",-0.728868417647192,42,8.73434377565386e-159,"treatment20C"
"siteCI5...289",0.119740583580134,42,2.84397365201741e-07,"siteCI5"
"siteDB...290",-0.495879266281334,42,1.41267145767755e-97,"siteDB"
"sitePW...291",-0.43688622725449,42,3.82081879452883e-76,"sitePW"
"treatment20C:siteCI5...292",0.287609696092764,42,1.35195684229945e-15,"treatment20C:siteCI5"
"treatment20C:siteDB...293",0.390024744842356,42,8.56042278600103e-27,"treatment20C:siteDB"
"treatment20C:sitePW...294",0.147958677969199,42,6.75205885965323e-05,"treatment20C:sitePW"
"treatment20C...295",-0.555033035367953,43,2.08105896098954e-92,"treatment20C"
"siteCI5...296",-0.00648375255121015,43,0.793492954088853,"siteCI5"
"siteDB...297",-0.664512166362434,43,3.56374835153109e-148,"siteDB"
"sitePW...298",-0.427059090516136,43,6.07127215974683e-68,"sitePW"
"treatment20C:siteCI5...299",0.354321629782462,43,2.18948332343472e-22,"treatment20C:siteCI5"
"treatment20C:siteDB...300",0.408426736977375,43,1.53494039888439e-27,"treatment20C:siteDB"
"treatment20C:sitePW...301",0.216503537689643,43,2.5071392988254e-09,"treatment20C:sitePW"
"treatment20C...302",-0.520967422515904,44,1.03636135823628e-79,"treatment20C"
"siteCI5...303",0.117346258277857,44,2.90882348555603e-06,"siteCI5"
"siteDB...304",-0.584079417032878,44,3.33509206831284e-112,"siteDB"
"sitePW...305",-0.422143012911003,44,1.36192245496575e-66,"sitePW"
"treatment20C:siteCI5...306",0.0646016274161019,44,0.0840746635697662,"treatment20C:siteCI5"
"treatment20C:siteDB...307",0.573683752571468,44,1.93753929493427e-53,"treatment20C:siteDB"
"treatment20C:sitePW...308",0.252220457306183,44,4.78712037753985e-12,"treatment20C:sitePW"
"treatment20C...309",-0.678489661526,45,3.27768218995262e-132,"treatment20C"
"siteCI5...310",-0.0308714457951789,45,0.202194001899232,"siteCI5"
"siteDB...311",-0.729000283980729,45,4.53811686342347e-179,"siteDB"
"sitePW...312",-0.324540946562955,45,3.01259099102417e-44,"sitePW"
"treatment20C:siteCI5...313",0.325360653640592,45,3.1922997434686e-18,"treatment20C:siteCI5"
"treatment20C:siteDB...314",0.696060008610484,45,3.09879493357537e-76,"treatment20C:siteDB"
"treatment20C:sitePW...315",0.294816817133043,45,3.15088351396975e-16,"treatment20C:sitePW"
"treatment20C...316",-0.463466665376186,46,7.51998348635059e-69,"treatment20C"
"siteCI5...317",0.10802529684865,46,1.18255835332587e-05,"siteCI5"
"siteDB...318",-0.486065839508449,46,6.41011971115103e-82,"siteDB"
"sitePW...319",-0.337957049219678,46,8.91873613870434e-43,"sitePW"
"treatment20C:siteCI5...320",0.117097155133843,46,0.0010613800572726,"treatment20C:siteCI5"
"treatment20C:siteDB...321",0.263251829637835,46,3.74578424749665e-13,"treatment20C:siteDB"
"treatment20C:sitePW...322",0.00232740459455244,46,0.94810061642688,"treatment20C:sitePW"
"treatment20C...323",-0.427941820555885,47,9.78857859224052e-56,"treatment20C"
"siteCI5...324",0.226161436119048,47,1.49318272585566e-19,"siteCI5"
"siteDB...325",-0.391178820222516,47,1.47759313869362e-53,"siteDB"
"sitePW...326",-0.298197212276368,47,2.20076447903171e-32,"sitePW"
"treatment20C:siteCI5...327",0.169392962021309,47,2.076312411675e-06,"treatment20C:siteCI5"
"treatment20C:siteDB...328",0.170629533456608,47,3.44769849941003e-06,"treatment20C:siteDB"
"treatment20C:sitePW...329",0.0324416078129113,47,0.374476389885545,"treatment20C:sitePW"
